ID,date,geo_merge,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,population
1,8/29/2020,West Caldwell NJ,302,,,,,,
2,8/16/2020,West Caldwell NJ,298,,,,,,
3,7/29/2020,West Caldwell NJ,284,,,,,,
4,7/21/2020,West Caldwell NJ,281,,,,,,
5,7/15/2020,West Caldwell NJ,275,,,,,,
6,7/9/2020,West Caldwell NJ,268,,,,,,
7,7/1/2020,West Caldwell NJ,266,,,,,,
8,6/25/2020,West Caldwell NJ,263,,,,,,
9,6/21/2020,West Caldwell NJ,264,,,,,,
10,6/19/2020,West Caldwell NJ,261,,,,,,
11,6/8/2020,West Caldwell NJ,254,,,,,,
12,6/2/2020,West Caldwell NJ,250,,,,,,
13,5/30/2020,West Caldwell NJ,227,,,,,,
14,5/28/2020,West Caldwell NJ,219,,,,,,
15,5/20/2020,West Caldwell NJ,201,,,,,,
16,5/19/2020,West Caldwell NJ,199,,,,,,
17,5/15/2020,West Caldwell NJ,196,,,,,,
18,5/11/2020,West Caldwell NJ,197,,,,,,
19,5/7/2020,West Caldwell NJ,190,,,,,,
20,5/4/2020,West Caldwell NJ,192,,,,,,
21,5/3/2020,West Caldwell NJ,189,,,,,,
22,4/30/2020,West Caldwell NJ,184,,,,,,
23,4/29/2020,West Caldwell NJ,193,,,,,,
24,4/27/2020,West Caldwell NJ,192,,,,,,
25,4/24/2020,West Caldwell NJ,169,,,,,,
26,4/21/2020,West Caldwell NJ,139,,,,,,
27,4/17/2020,West Caldwell NJ,121,,,,,,
28,4/16/2020,West Caldwell NJ,120,,,,,,
29,4/15/2020,West Caldwell NJ,117,,,,,,
30,4/14/2020,West Caldwell NJ,108,,,,,,
31,4/13/2020,West Caldwell NJ,107,,,,,,
32,4/12/2020,West Caldwell NJ,99,,,,,,
33,4/11/2020,West Caldwell NJ,98,,,,,,
34,4/10/2020,West Caldwell NJ,91,,,,,,
35,4/9/2020,West Caldwell NJ,74,,,,,,
36,4/8/2020,West Caldwell NJ,73,,,,,,
37,4/7/2020,West Caldwell NJ,73,,,,,,
38,4/6/2020,West Caldwell NJ,58,,,,,,
39,4/5/2020,West Caldwell NJ,52,,,,,,
40,4/4/2020,West Caldwell NJ,37,,,,,,
41,4/3/2020,West Caldwell NJ,30,,,,,,
42,4/2/2020,West Caldwell NJ,29,,,,,,
43,4/1/2020,West Caldwell NJ,27,,,,,,
44,3/31/2020,West Caldwell NJ,26,,,,,,
45,3/30/2020,West Caldwell NJ,21,,,,,,
46,3/29/2020,West Caldwell NJ,12,,,,,,
47,3/28/2020,West Caldwell NJ,7,,,,,,
48,3/27/2020,West Caldwell NJ,7,,,,,,
49,          8/16/2020 , West Caldwell NJ   ,298,,,,,,
50,          8/29/2020 , West Caldwell NJ   ,302,,,,,,
