ID,date,geo_merge,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,persons_tested_final,testing_rate_final,adj_testing_rate_final,population
1,5/31/2020,City of Agoura Hills,35,35,165,0,0,0,789,3778,3382,20883
2,5/31/2020,City of Alhambra,195,195,205,8,9,6,4147,4782,4568,86724
3,5/31/2020,City of Arcadia,82,82,127,5,9,6,1661,2876,2852,57754
4,5/31/2020,City of Artesia,33,33,180,0,0,0,543,3233,2984,16795
5,5/31/2020,City of Azusa,167,167,341,5,10,13,1461,2920,2990,50040
6,5/31/2020,City of Baldwin Park,325,325,421,6,8,8,2562,3337,3304,76769
7,5/31/2020,City of Bell,319,319,947,23,63,89,1274,3507,3636,36332
8,5/31/2020,City of Bell Gardens,285,285,742,10,23,42,1158,2689,2802,43071
9,5/31/2020,City of Bellflower,382,382,495,18,23,27,3645,4689,4620,77735
10,5/31/2020,City of Beverly Hills,138,138,364,5,14,8,2551,7390,6821,34520
11,5/31/2020,City of Bradbury,3,3,372,0,0,0,9,842,859,1069
12,5/31/2020,City of Burbank,395,395,316,39,36,28,5349,4991,4630,107180
13,5/31/2020,City of Calabasas,61,61,219,7,29,24,1061,4362,4106,24323
14,5/31/2020,City of Carson,407,407,414,24,26,19,3928,4186,3994,93846
15,5/31/2020,City of Cerritos,120,120,247,1,2,1,1820,3635,3607,50067
16,5/31/2020,City of Claremont,40,40,122,0,0,0,1131,3100,3210,36484
17,5/31/2020,City of Commerce,71,71,540,0,0,0,414,3168,3171,13069
18,5/31/2020,City of Compton,554,554,569,15,15,21,4103,4107,4263,99904
19,5/31/2020,City of Covina,162,162,325,6,12,12,1872,3818,3730,49032
20,5/31/2020,City of Cudahy,219,219,939,5,21,36,789,3241,3339,24347
21,5/31/2020,City of Culver City,147,147,314,17,43,27,2935,7362,6876,39865
22,5/31/2020,City of Diamond Bar,63,63,100,1,2,1,1590,2764,2584,57515
23,5/31/2020,City of Downey,679,679,582,23,20,19,4867,4259,4160,114263
24,5/31/2020,City of Duarte,118,118,442,15,68,42,958,4351,4107,22016
25,5/31/2020,City of El Monte,516,516,438,21,18,19,4141,3531,3482,117269
26,5/31/2020,City of El Segundo,34,34,193,0,0,0,804,4790,4656,16786
27,5/31/2020,City of Gardena,256,256,375,22,36,24,2942,4799,4562,61310
28,5/31/2020,City of Glendale,965,965,387,82,40,27,8732,4229,3860,206493
29,5/31/2020,City of Glendora,143,143,238,6,11,9,1655,3137,3037,52764
30,5/31/2020,City of Hawaiian Gardens,57,57,376,1,7,8,394,2685,2649,14676
31,5/31/2020,City of Hawthorne,389,389,440,11,12,15,4374,4926,4868,88787
32,5/31/2020,City of Hermosa Beach,29,29,138,2,10,13,920,4677,4425,19670
33,5/31/2020,City of Hidden Hills,1,1,27,0,0,0,90,4762,4318,1890
34,5/31/2020,City of Huntington Park,483,483,822,9,15,19,1989,3344,3356,59484
35,5/31/2020,City of Industry,10,10,2175,2,458,556,90,20595,19165,437
36,5/31/2020,City of Inglewood,583,583,509,55,48,52,6013,5294,5170,113582
37,5/31/2020,City of Irwindale,4,4,244,0,0,0,44,3016,3027,1459
38,5/31/2020,City of La Canada Flintridge,50,50,308,5,24,13,812,3924,4690,20693
39,5/31/2020,City of La Habra Heights,8,8,127,0,0,0,28,513,663,5455
40,5/31/2020,City of La Mirada,167,167,292,12,24,16,1372,2766,2714,49599
41,5/31/2020,City of La Puente,124,124,293,0,0,0,1226,3013,2977,40697
42,5/31/2020,City of La Verne,30,30,83,1,3,1,926,2782,2675,33282
43,5/31/2020,City of Lakewood,181,181,223,5,6,5,3106,3865,3784,80362
44,5/31/2020,City of Lancaster,574,574,362,12,7,8,5405,3345,3391,161570
45,5/31/2020,City of Lawndale,118,118,344,4,12,17,1429,4251,4145,33614
46,5/31/2020,City of Lomita,51,51,227,6,29,19,755,3642,3453,20729
47,5/31/2020,City of Lynwood,582,582,947,33,46,73,2843,3946,4187,72047
48,5/31/2020,City of Malibu,35,35,233,1,8,4,1517,11704,9771,12961
49,5/31/2020,City of Manhattan Beach,77,77,190,3,8,8,1507,4186,3994,35999
50,5/31/2020,City of Maywood,264,264,1035,8,29,43,1033,3683,3869,28049
51,5/31/2020,City of Monrovia,157,157,388,19,49,49,1499,3863,3760,38800
52,5/31/2020,City of Montebello,381,381,560,15,23,18,2369,3680,3581,64375
53,5/31/2020,City of Monterey Park,152,152,235,6,10,5,2154,3460,3434,62262
54,5/31/2020,City of Norwalk,426,426,387,14,13,14,3609,3353,3297,107622
55,5/31/2020,City of Palmdale,720,720,458,16,10,12,6743,4242,4342,158968
56,5/31/2020,City of Palos Verdes Estates,42,42,245,1,7,4,386,2855,2965,13522
57,5/31/2020,City of Paramount,324,324,585,8,14,17,2144,3827,3872,56023
58,5/31/2020,City of Pico Rivera,502,502,740,27,42,37,2450,3811,3651,64284
59,5/31/2020,City of Pomona,446,446,287,13,8,11,4835,3101,3131,155931
60,5/31/2020,City of Rancho Palos Verdes,93,93,195,11,26,12,1744,4080,4235,42747
61,5/31/2020,City of Redondo Beach,139,139,196,8,12,12,3112,4530,4391,68697
62,5/31/2020,City of Rolling Hills,2,2,61,0,0,0,61,3144,3173,1940
63,5/31/2020,City of Rolling Hills Estates,14,14,278,0,0,0,278,3427,3635,8113
64,5/31/2020,City of Rosemead,100,100,174,3,5,4,1577,2849,2757,55350
65,5/31/2020,City of San Dimas,55,55,158,1,3,2,1244,3604,3548,34516
66,5/31/2020,City of San Fernando,191,191,804,7,28,34,1529,6212,6182,24612
67,5/31/2020,City of San Gabriel,138,138,275,11,27,16,1419,3465,3255,40954
68,5/31/2020,City of San Marino,22,22,150,1,8,4,433,3261,3285,13277
69,5/31/2020,City of Santa Clarita,734,734,344,16,7,8,10256,4653,4615,220424
70,5/31/2020,City of Santa Fe Springs,65,65,355,0,0,0,570,3104,3169,18364
71,5/31/2020,City of Santa Monica,267,267,237,19,21,15,6961,7530,6635,92446
72,5/31/2020,City of Sierra Madre,10,10,84,0,0,0,394,3585,3647,10989
73,5/31/2020,City of Signal Hill,26,26,226,0,0,0,409,3467,3440,11797
74,5/31/2020,City of South El Monte,82,82,405,2,10,9,732,3505,3469,20885
75,5/31/2020,City of South Gate,596,596,604,15,15,19,3150,3209,3212,98155
76,5/31/2020,City of South Pasadena,123,123,406,18,69,54,1342,5151,5095,26053
77,5/31/2020,City of Temple City,156,156,318,20,55,34,1578,4329,4033,36455
78,5/31/2020,City of Torrance,368,368,218,45,30,22,5978,4005,3822,149268
79,5/31/2020,City of Vernon,3,3,1213,0,0,0,30,14354,17689,209
80,5/31/2020,City of Walnut,44,44,119,1,3,1,797,2610,2525,30532
81,5/31/2020,City of West Covina,344,344,300,7,6,6,3694,3413,3298,108235
82,5/31/2020,City of West Hollywood,179,179,378,4,11,7,3155,8538,6945,36951
83,5/31/2020,City of Westlake Village,6,6,45,0,0,0,80,957,918,8360
84,5/31/2020,City of Whittier,312,312,345,10,11,11,2741,3135,3085,87432
85,5/31/2020,Los Angeles - Adams-Normandie,51,51,612,3,37,38,387,4718,4617,8202
86,5/31/2020,Los Angeles - Alsace,49,49,387,0,0,0,543,4363,4259,12445
87,5/31/2020,Los Angeles - Angelino Heights,16,16,540,0,0,0,194,7754,7163,2502
88,5/31/2020,Los Angeles - Arleta,279,279,785,6,17,18,2279,6631,6452,34370
89,5/31/2020,Los Angeles - Atwater Village,51,51,336,2,14,11,981,6689,6436,14666
90,5/31/2020,Los Angeles - Baldwin Hills,166,166,496,10,32,25,2054,6599,6269,31125
91,5/31/2020,Los Angeles - Bel Air,36,36,418,0,0,0,598,7095,7079,8429
92,5/31/2020,Los Angeles - Beverly Crest,37,37,300,2,16,9,743,5932,5916,12525
93,5/31/2020,Los Angeles - Beverlywood,37,37,269,0,0,0,905,6870,7086,13173
94,5/31/2020,Los Angeles - Boyle Heights,718,718,832,14,16,19,4347,5003,5014,86884
95,5/31/2020,Los Angeles - Brentwood,78,78,228,2,6,4,2314,7475,6724,30955
96,5/31/2020,Los Angeles - Cadillac-Corning,30,30,454,1,14,27,326,4578,4420,7121
97,5/31/2020,Los Angeles - Canoga Park,489,489,756,25,38,49,3926,6013,5934,65289
98,5/31/2020,Los Angeles - Carthay,78,78,572,7,49,20,1488,10360,12192,14363
99,5/31/2020,Los Angeles - Central,409,409,1104,16,41,58,1956,5016,5342,38992
100,5/31/2020,Los Angeles - Century City,34,34,265,0,0,0,940,7348,7523,12792
101,5/31/2020,Los Angeles - Century Palms/Cove,267,267,817,2,6,5,1554,4602,4872,33766
102,5/31/2020,Los Angeles - Chatsworth,188,188,454,23,62,41,2730,7366,6803,37061
103,5/31/2020,Los Angeles - Cheviot Hills,21,21,238,1,11,5,639,6968,7018,9171
104,5/31/2020,Los Angeles - Chinatown,21,21,281,1,12,10,383,4775,4606,8021
105,5/31/2020,Los Angeles - Cloverdale/Cochran,67,67,445,3,21,22,763,5243,5027,14553
106,5/31/2020,Los Angeles - Country Club Park,95,95,523,18,119,90,781,5154,4822,15153
107,5/31/2020,Los Angeles - Crenshaw District,69,69,502,3,22,15,1059,7658,7390,13829
108,5/31/2020,Los Angeles - Crestview,88,88,707,14,123,114,916,8058,7838,11368
109,5/31/2020,Los Angeles - Del Rey,77,77,236,3,10,7,1712,5719,5410,29936
110,5/31/2020,Los Angeles - Downtown,147,147,484,3,11,4,2816,10237,9142,27507
111,5/31/2020,Los Angeles - Eagle Rock,177,177,405,13,33,23,2466,6229,5963,39589
112,5/31/2020,Los Angeles - East Hollywood,225,225,707,35,120,103,1672,5709,5248,29287
113,5/31/2020,Los Angeles - Echo Park,45,45,294,1,7,9,1028,7211,6515,14256
114,5/31/2020,Los Angeles - El Sereno,166,166,388,15,36,30,2242,5363,5313,41808
115,5/31/2020,Los Angeles - Elysian Park,16,16,254,0,0,0,317,5550,4969,5712
116,5/31/2020,Los Angeles - Elysian Valley,56,56,516,0,0,0,623,6125,5804,10171
117,5/31/2020,Los Angeles - Encino,125,125,249,12,27,13,3065,6785,6544,45172
118,5/31/2020,Los Angeles - Exposition,9,9,265,0,0,0,179,5382,5251,3326
119,5/31/2020,Los Angeles - Exposition Park,248,248,582,11,24,30,2031,4522,4665,44917
120,5/31/2020,Los Angeles - Faircrest Heights,4,4,100,1,28,23,205,5694,5484,3600
121,5/31/2020,Los Angeles - Figueroa Park Square,37,37,441,0,0,0,441,5057,5194,8721
122,5/31/2020,Los Angeles - Florence-Firestone,390,390,863,10,21,32,2177,4588,4726,47445
123,5/31/2020,Los Angeles - Glassell Park,181,181,533,5,16,14,1728,5468,5303,31604
124,5/31/2020,Los Angeles - Gramercy Place,67,67,640,2,19,12,695,6457,6169,10764
125,5/31/2020,Los Angeles - Granada Hills,317,317,469,24,41,29,3717,6388,6027,58191
126,5/31/2020,Los Angeles - Green Meadows,166,166,784,4,19,25,1004,4669,4834,21505
127,5/31/2020,Los Angeles - Hancock Park,79,79,414,2,12,12,1078,6327,6368,17039
128,5/31/2020,Los Angeles - Harbor City,96,96,313,4,14,11,1090,3750,3629,29070
129,5/31/2020,Los Angeles - Harbor Gateway,139,139,316,4,9,9,1628,3734,3700,43600
130,5/31/2020,Los Angeles - Harbor Pines,9,9,398,0,0,0,101,4193,3926,2409
