id,date,geo_merge,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,population
1,8/16/2020,City of Agoura Hills,128,613,605,2,10,10,20883
2,8/16/2020,City of Alhambra,1046,1206,1200,20,23,16,86724
3,8/16/2020,City of Arcadia,407,705,674,27,47,30,57754
4,8/16/2020,City of Artesia,273,1625,1579,4,24,15,16795
5,8/16/2020,City of Avalon,5,129,151,0,0,0,3869
6,8/16/2020,City of Azusa,1257,2512,2518,15,30,35,50040
7,8/16/2020,City of Baldwin Park,2421,3154,3130,68,89,103,76769
8,8/16/2020,City of Bell,1352,3721,3750,35,96,131,36332
9,8/16/2020,City of Bell Gardens,1639,3805,3841,20,46,74,43071
10,8/16/2020,City of Bellflower,2001,2574,2554,51,66,74,77735
11,8/16/2020,City of Beverly Hills,576,1669,1648,10,29,15,34520
12,8/16/2020,City of Bradbury,13,1216,1445,0,0,0,1069
13,8/16/2020,City of Burbank,1167,1089,1021,54,50,39,107180
14,8/16/2020,City of Calabasas,219,900,834,12,49,41,24323
15,8/16/2020,City of Carson,1509,1608,1562,44,47,37,93846
16,8/16/2020,City of Cerritos,481,961,1013,13,26,19,50067
17,8/16/2020,City of Claremont,308,844,883,8,22,13,36484
18,8/16/2020,City of Commerce,487,3726,3688,4,31,28,13069
19,8/16/2020,City of Compton,3387,3390,3389,49,49,62,99904
20,8/16/2020,City of Covina,1144,2333,2316,20,41,37,49032
21,8/16/2020,City of Cudahy,950,3902,3943,14,58,92,24347
22,8/16/2020,City of Culver City,350,878,848,29,73,49,39865
23,8/16/2020,City of Diamond Bar,460,800,782,7,12,8,57515
24,8/16/2020,City of Downey,3445,3015,2941,75,66,65,114263
25,8/16/2020,City of Duarte,429,1949,1819,24,109,68,22016
26,8/16/2020,City of El Monte,3753,3200,3167,119,101,103,117269
27,8/16/2020,City of El Segundo,106,631,605,0,0,0,16786
28,8/16/2020,City of Gardena,1007,1642,1625,36,59,41,61310
29,8/16/2020,City of Glendale,2763,1338,1222,148,72,49,206493
