ID,date,geo_merge,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,population
1,8/29/2020,City of Agoura Hills,147,704,695,2,10,10,20883
2,8/29/2020,City of Alhambra,1135,1309,1306,23,27,18,86724
3,8/29/2020,City of Arcadia,439,760,731,30,52,33,57754
4,8/29/2020,City of Artesia,299,1780,1724,5,30,19,16795
5,8/29/2020,City of Avalon,5,129,151,0,0,0,3869
6,8/29/2020,City of Azusa,1404,2806,2819,17,34,40,50040
7,8/29/2020,City of Baldwin Park,2592,3376,3346,76,99,114,76769
8,8/29/2020,City of Bell,1429,3933,3956,37,102,140,36332
9,8/29/2020,City of Bell Gardens,1736,4031,4072,21,49,77,43071
10,8/29/2020,City of Bellflower,2174,2797,2782,57,73,83,77735
11,8/29/2020,City of Beverly Hills,613,1776,1763,11,32,16,34520
12,8/29/2020,City of Bradbury,13,1216,1445,0,0,0,1069
13,8/29/2020,City of Burbank,1309,1221,1148,55,51,40,107180
14,8/29/2020,City of Calabasas,230,946,879,12,49,41,24323
15,8/29/2020,City of Carson,1685,1795,1744,49,52,41,93846
16,8/29/2020,City of Cerritos,516,1031,1081,13,26,19,50067
17,8/29/2020,City of Claremont,341,935,972,10,27,17,36484
18,8/29/2020,City of Commerce,519,3971,3925,10,77,82,13069
19,8/29/2020,City of Compton,3651,3655,3661,56,56,68,99904
20,8/29/2020,City of Covina,1234,2517,2494,25,51,45,49032
21,8/29/2020,City of Cudahy,1009,4144,4200,15,62,102,24347
22,8/29/2020,City of Culver City,370,928,898,29,73,49,39865
23,8/29/2020,City of Diamond Bar,492,855,837,8,14,10,57515
24,8/29/2020,City of Downey,3674,3215,3138,78,68,67,114263
25,8/29/2020,City of Duarte,468,2126,2003,25,114,71,22016
26,8/29/2020,City of El Monte,3997,3408,3375,133,113,115,117269
27,8/29/2020,City of El Segundo,121,721,704,1,6,3,16786
28,8/29/2020,City of Gardena,1125,1835,1819,40,65,46,61310
29,8/29/2020,City of Glendale,3089,1496,1372,161,78,54,206493
30,8/29/2020,City of Glendora,1140,2161,2032,63,119,90,52764
31,8/29/2020,City of Hawaiian Gardens,486,3312,3245,2,14,16,14676
32,8/29/2020,City of Hawthorne,1806,2034,2018,39,44,51,88787
33,8/29/2020,City of Hermosa Beach,189,961,925,4,20,27,19670
34,8/29/2020,City of Hidden Hills,7,370,204,0,0,0,1890
35,8/29/2020,City of Huntington Park,2612,4391,4369,40,67,88,59484
36,8/29/2020,City of Industry,30,6865,7269,2,458,556,437
37,8/29/2020,City of Inglewood,2611,2299,2273,82,72,78,113582
38,8/29/2020,City of Irwindale,65,4455,4478,2,137,155,1459
39,8/29/2020,City of La Canada Flintridge,160,773,905,7,34,21,20693
40,8/29/2020,City of La Habra Heights,36,660,604,0,0,0,5455
41,8/29/2020,City of La Mirada,771,1554,1485,25,50,35,49599
42,8/29/2020,City of La Puente,1383,3398,3320,16,39,40,40697
43,8/29/2020,City of La Verne,417,1253,1321,10,30,16,33282
